kol_username,month_start,year_start,month_end,year_end,total_posts_pr,total_posts_nonpr,unique_music_pr,unique_music_nonpr,ttSeller,commerceUser,emoji_count_pr,emoji_count_nonpr,hashtag_count_pr,hashtag_count_nonpr,word_count_no_emoji_hashtag_pr,word_count_no_emoji_hashtag_nonpr,early_morning_pr,pr_ratio_early_morning,early_morning_nonpr,morning_pr,pr_ratio_morning,morning_nonpr,afternoon_pr,pr_ratio_afternoon,afternoon_nonpr,evening_pr,pr_ratio_evening,evening_nonpr,late_night_pr,pr_ratio_late_night,late_night_nonpr,is_weekend_pr,pr_ratio_weekend,is_weekend_nonpr,is_trending_pr,pr_ratio_trending,is_trending_nonpr,duration_pr,duration_nonpr,diggCount_pr,diggCount_nonpr,shareCount_pr,shareCount_nonpr,collectCount_pr,collectCount_nonpr,commentCount_pr,commentCount_nonpr,playCount_pr,playCount_nonpr,isSlideshow_pr,pr_ratio_slideshow,isSlideshow_nonpr,isSponsored_pr,pr_ratio_sponsored,isSponsored_nonpr,e_outlier_pr,pr_ratio_e_outlier,e_outlier_nonpr,follower_change_in_input_window,pr_engagement_rate_input,pr_post_ratio,female_percent,vietnam_follower,EngagementRateOnPRPost_target
conkien01,6,2024,11,2024,64,40,26,18,False,True,33,29,359,201,577,354,1,0.015625,0,9,0.140625,10,22,0.34375,16,27,0.421875,10,5,0.078125,4,13,0.203125,15,14,0.21875,9,4664,2426,446987,93419,16670,1825,56139,6705,11255,1836,81518223,1555698,0,0.0,0,0,0.0,0,10,0.15625,4,27142.857142857138,0.0065145065784861,0.6153846153846154,89.0,96%,0.0097488681985137
conkien01,7,2024,12,2024,68,28,25,16,False,True,27,20,397,140,616,251,0,0.0,0,12,0.1764705882352941,4,20,0.2941176470588235,13,30,0.4411764705882353,9,6,0.088235294117647,2,10,0.1470588235294117,11,13,0.1911764705882352,5,5298,1654,361273,54794,15090,934,46311,3118,11130,512,65478623,789895,0,0.0,0,0,0.0,0,11,0.1617647058823529,0,25971.42857142857,0.0066251240500277,0.7083333333333334,89.0,96%,0.0094859790114418
conkien01,8,2024,1,2025,72,19,25,14,False,True,29,13,427,95,652,179,2,0.0277777777777777,0,12,0.1666666666666666,2,21,0.2916666666666667,10,31,0.4305555555555556,6,6,0.0833333333333333,1,9,0.125,6,15,0.2083333333333333,5,5496,1063,336771,59320,13205,2222,40350,6998,9585,675,62046023,1536795,0,0.0,0,0,0.0,0,11,0.1527777777777778,1,25971.42857142857,0.0064453929625755,0.7912087912087912,89.0,96%,0.007427097892889
im.lunadao_official,1,2024,6,2024,2,59,2,40,False,False,3,88,13,357,184,2967,0,0.0,0,0,0.0,2,0,0.0,1,2,1.0,56,0,0.0,0,0,0.0,13,1,0.5,23,207,6480,62400,395385,3779,19406,1838,17230,1069,5558,5300000,11353700,0,0.0,0,0,0.0,0,0,0.0,6,11278.0,0.0130350943396226,0.0327868852459016,85.0,91%,0.0445024446768222
im.lunadao_official,2,2024,7,2024,2,48,2,36,False,False,3,66,13,284,184,2571,0,0.0,0,0,0.0,1,0,0.0,1,2,1.0,46,0,0.0,0,0,0.0,12,1,0.5,15,207,5829,62400,656833,3779,56181,1838,33788,1069,11745,5300000,16189500,0,0.0,0,0,0.0,0,0,0.0,7,10596.666666666666,0.0130350943396226,0.04,85.0,91%,0.0544746771904316
im.lunadao_official,3,2024,8,2024,3,39,3,38,False,False,3,50,24,207,243,2340,0,0.0,0,0,0.0,1,0,0.0,1,3,1.0,37,0,0.0,0,0,0.0,7,1,0.3333333333333333,4,415,5521,77100,645970,4733,58402,2739,32882,1341,12068,6300000,15579900,0,0.0,0,0,0.0,0,0,0.0,7,9915.333333333334,0.0136369841269841,0.0714285714285714,85.0,91%,0.0559974047422437
im.lunadao_official,4,2024,9,2024,4,36,4,36,False,False,4,46,34,205,324,2410,0,0.0,0,0,0.0,0,0,0.0,2,4,1.0,34,0,0.0,0,0,0.0,9,1,0.25,4,532,4961,89800,628333,6053,59183,3423,31284,1591,12220,6645600,14924100,0,0.0,0,0,0.0,0,1,0.25,7,10220.0,0.0151780125195618,0.1,85.0,91%,0.0534383202099737
im.lunadao_official,5,2024,10,2024,6,32,6,32,False,False,7,43,70,218,498,2135,0,0.0,0,0,0.0,0,0,0.0,2,6,1.0,30,0,0.0,0,0,0.0,7,3,0.5,2,964,4737,186600,587858,14101,56325,7864,29375,3430,11472,5138300,13980400,0,0.0,0,0,0.0,0,1,0.1666666666666666,5,10129.666666666666,0.0412578090029776,0.1578947368421052,85.0,91%,0.0582968901846452
im.lunadao_official,6,2024,11,2024,6,30,6,30,False,False,5,50,75,261,458,2231,0,0.0,0,0,0.0,0,0,0.0,1,6,1.0,29,0,0.0,0,0,0.0,7,2,0.3333333333333333,2,1042,4612,152500,547666,11319,53811,7650,28078,2719,11495,3888700,13049600,0,0.0,0,0,0.0,0,1,0.1666666666666666,3,9842.333333333334,0.0447933756782472,0.1666666666666666,85.0,91%,0.0582968901846452
im.lunadao_official,7,2024,12,2024,6,37,6,36,False,False,5,59,75,379,458,2309,0,0.0,0,0,0.0,0,0,0.0,1,6,1.0,36,0,0.0,0,0,0.0,8,2,0.3333333333333333,1,1042,5166,152500,738145,11319,66284,7650,37836,2719,15636,3888700,16386300,0,0.0,0,0,0.0,0,1,0.1666666666666666,3,11278.0,0.0447933756782472,0.1395348837209302,85.0,91%,0.0050305530094714
im.lunadao_official,8,2024,1,2025,7,40,7,39,False,False,5,62,89,425,479,2378,0,0.0,0,0,0.0,0,0,0.0,1,7,1.0,39,0,0.0,0,0,0.0,10,3,0.4285714285714285,4,1238,5466,173500,515375,12869,32233,8739,22311,3075,9816,4300300,12160200,0,0.0,0,0,0.0,0,1,0.1428571428571428,1,11278.0,0.0460858544752691,0.1489361702127659,85.0,91%,0.0060115688487584
biveve131,8,2024,1,2025,3,57,3,50,False,False,0,37,19,456,11,467,0,0.0,0,0,0.0,6,0,0.0,2,3,1.0,48,0,0.0,1,0,0.0,16,0,0.0,10,103,1560,2994,167926,56,9933,206,19111,7,1165,405900,1553494,0,0.0,1,0,0.0,0,0,0.0,8,540.9181818181818,0.0080389258438038,0.05,,,0.0091106880609192
itshale98,1,2024,6,2024,6,63,4,46,False,False,5,78,46,349,63,787,0,0.0,0,0,0.0,1,0,0.0,9,6,1.0,51,0,0.0,2,1,0.1666666666666666,12,3,0.5,26,634,5067,24091,791702,133,6246,970,20754,169,3283,2718200,19411300,0,0.0,2,0,0.0,0,0,0.0,10,1350.0,0.0093308071517916,0.0869565217391304,76.0,96%,0.0057818967068562
itshale98,2,2024,7,2024,8,59,8,47,False,False,8,66,53,297,91,759,0,0.0,0,0,0.0,0,0,0.0,8,8,1.0,48,0,0.0,3,2,0.25,11,1,0.125,17,901,4615,24127,751693,146,6925,911,18996,161,3096,2905300,18891000,0,0.0,2,0,0.0,0,1,0.125,8,1675.0,0.0087237118369875,0.1194029850746268,76.0,96%,0.0034649009889284
itshale98,3,2024,8,2024,12,56,12,45,False,False,10,57,70,267,152,785,0,0.0,1,0,0.0,0,0,0.0,6,12,1.0,47,0,0.0,2,3,0.25,13,1,0.0833333333333333,7,1254,5111,70681,900699,821,10189,1842,31630,294,3671,5884700,15578300,0,0.0,1,0,0.0,0,2,0.1666666666666666,7,1700.0,0.0125134671266164,0.1764705882352941,76.0,96%,0.0045197152418826
itshale98,4,2024,9,2024,14,51,13,43,False,False,11,43,76,237,203,740,0,0.0,1,0,0.0,1,0,0.0,6,14,1.0,42,0,0.0,1,3,0.2142857142857142,12,1,0.0714285714285714,6,1696,4399,90875,767723,1220,8918,2931,26965,371,3387,13155600,13030601,0,0.0,2,0,0.0,0,1,0.0714285714285714,5,1625.0,0.0072514366505518,0.2153846153846154,76.0,96%,0.0057420839386268
itshale98,5,2024,10,2024,17,52,15,46,False,False,14,43,94,241,241,762,0,0.0,1,0,0.0,2,0,0.0,4,17,1.0,44,0,0.0,1,4,0.2352941176470588,13,1,0.0588235294117647,6,1983,4517,110924,695881,1474,7952,3988,24782,561,3091,19348000,11123067,0,0.0,2,0,0.0,0,1,0.0588235294117647,4,1350.0,0.0060443973537316,0.2463768115942029,76.0,96%,0.005871732340735
itshale98,6,2024,11,2024,20,57,18,47,False,False,15,46,107,263,287,789,0,0.0,2,0,0.0,3,0,0.0,3,20,1.0,47,0,0.0,2,5,0.25,14,1,0.05,11,2376,4970,114179,607484,1555,7393,4313,23082,619,3260,20162829,9837617,0,0.0,2,0,0.0,0,4,0.2,1,1350.0,0.0059845768666688,0.2597402597402597,76.0,96%,0.0052108937741619
itshale98,7,2024,12,2024,22,69,20,59,False,False,15,54,118,316,329,1004,0,0.0,2,0,0.0,3,1,0.0454545454545454,5,21,0.9545454545454546,55,0,0.0,4,6,0.2727272727272727,19,1,0.0454545454545454,19,2670,6500,129990,617170,1915,7007,4653,23916,678,3564,22414729,10614399,0,0.0,1,0,0.0,0,1,0.0454545454545454,4,1350.0,0.006122581272341,0.2417582417582417,76.0,96%,0.0056208306506514
itshale98,8,2024,1,2025,17,81,15,70,False,False,10,68,88,366,265,1117,0,0.0,2,0,0.0,6,1,0.0588235294117647,7,16,0.9411764705882352,59,0,0.0,7,4,0.2352941176470588,25,1,0.0588235294117647,36,2096,7470,119755,646848,1842,7109,4432,24758,603,3687,21937729,11058867,0,0.0,2,0,0.0,0,0,0.0,6,1350.0,0.0057723386044198,0.173469387755102,76.0,96%,0.0045183449706695
thanhyvo,1,2024,6,2024,20,32,19,32,True,False,9,19,43,10,269,343,0,0.0,1,1,0.05,5,16,0.8,21,3,0.15,5,0,0.0,0,5,0.25,10,2,0.1,7,1601,2542,899741,4420801,5426,28682,33714,163299,3010,24347,58218800,74496500,0,0.0,0,0,0.0,0,3,0.15,1,-15798.0,0.0161784681236988,0.3846153846153846,,,0.0246889373669408
